gene Fam Hos Lab Res Wild
Pame_00790.t1 3.50942147687623 3.99283319375156 3.25125541300114 3.86973150122301 3.77376669895448
Pame_00791.t1 12.3175031004444 12.619602959354 12.0192910953818 12.4101519786103 11.4905197153779
Pame_00793.t1 2.25804603280642 2.81262836975502 2.03011534642809 2.63308713017994 1.89361462468277
Pame_00795.t1 2.29471946188394 2.84685017877551 2.09448372040878 2.71344964038106 1.90259602651981
Pame_00799.t1 4.31133564279105 4.77444650515351 3.85452128319835 4.64163562141207 4.08699592601924
Pame_00800.t1 3.4389073757891 3.94443336241147 3.16789525855869 3.80150090640403 3.30134819932312
Pame_00801.t1 2.09391018792665 2.62917806581814 1.60170742531881 2.34849702715279 2.6986994338829
Pame_00802.t1 3.28425512175539 3.79715709068085 2.86679328357182 3.67911944982858 2.80898885244673
Pame_00803.t2 3.12527830127942 3.76706034033487 2.81931969543392 3.29028913285693 3.72770367289158
Pame_00804.t1 4.03238001891035 4.67239362010403 3.38291119727734 4.42894050591052 4.27248521726566
Pame_00805.t1 4.97900076555528 5.72717122362533 4.11519748707593 5.22935812071658 5.82749750646311
Pame_00806.t1 3.27332518127588 4.00399203333171 2.64797151183544 3.5262498171966 4.97074236775778
Pame_00807.t1 1.76330985358289 2.35624481369661 1.4940151605195 2.27834864706473 1.05565068947434
Pame_00813.t1 1.76248619604366 2.24863599916546 1.49165992674624 2.11531100739735 1.60314174397353
Pame_00821.t1 1.82159546347136 3.83844005741934 2.62168686524368 2.73881914118498 3.80275409466726
Pame_00825.t1 1.55990563414311 1.76605067185517 1.17912889262173 1.72275593437122 1.62967385889987
Pame_00828.t2 5.08991870386629 4.53031167808381 4.76232033754758 5.26552602179015 5.39724379651485
Pame_00829.t1 2.63107530007845 2.73028303130069 1.90835497170355 2.28961027342273 0.170928694892232
Pame_00830.t1 2.96474749455097 3.55206712338197 2.77050798415021 3.19536561422883 2.49027713824203
Pame_00835.t1 5.67409408483687 6.25350274650584 5.1376905216026 5.89304016502932 4.68247057640352
Pame_00836.t1 3.04210976936679 3.49787107620172 2.78001041382356 3.28924251274872 2.87548278284518
Pame_00839.t1 6.04523679501103 5.33609864787911 6.20427223684939 5.87880070029248 3.61083715102314
Pame_00846.t1 4.33372482542065 4.45878861301203 4.05598030546032 4.37070077850075 3.68019147573898
Pame_00852.t1 4.10100703280786 4.23335792176589 3.85086167839106 4.36302718744064 4.34501695302096
Pame_00853.t1 6.90895146595668 7.25006953432756 6.54296523845418 7.06553647903255 5.97930055187968
Pame_00935.t1 1.53956759329909 1.84987102355048 2.11254145146863 2.51648826851624 2.820852164891
Pame_00940.t1 2.74172122032499 3.07445499667623 2.45585207952134 3.08293500450205 3.20925149823621
Pame_00944.t1 1.97055086542268 1.80974251455936 1.95671133719025 1.91539744046532 1.49218826656578
Pame_00945.t1 2.88332091288805 3.29648761073104 2.59394631024909 3.0166062031274 2.54651897903313
Pame_00946.t1 5.29003813015191 5.08188888736335 5.08078296676038 5.27995618428662 4.18556175565518
